名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
晟田,"=""4541""",0.0,77.8,,-17.7,15.025,2.88,-0.34,3.01,-0.16,3.13,-0.04,2.98,-0.58,-1.12,35.2,2.86,-0.15,3.47,0.18,3.95,0.57,1.21,1.4,1.28
科嶠,"=""4542""",89.3,1250.0,90.1,149.0,394.6,2.21,0.21,1.98,0.7,2.22,1.49,1.81,-0.72,1.68,85.6,1.75,0.61,2.11,0.14,0.79,-0.42,0.16,0.29,0.23
萬在,"=""4543""",41.5,48.2,0.0,0.0,22.425,2.16,0.63,2.56,0.97,1.75,0.8,1.89,0.02,2.41,38.05,1.93,0.89,2.32,0.77,1.82,0.12,0.6,0.63,0.62
銘鈺,"=""4545""",92.6,71.4,60.3,141.0,91.325,6.23,-0.03,5.15,0.57,5.03,0.77,4.34,-0.23,1.08,43.9,5.35,0.6,6.41,1.05,6.57,0.65,1.87,1.56,2.21
桓達,"=""4549""",81.8,60.7,65.4,72.6,70.125,3.34,1.07,3.34,1.24,3.53,1.56,3.45,1.09,4.89,185.0,3.07,1.18,3.47,1.33,3.02,0.92,0.94,1.09,1.26
長佳,"=""4550""",64.4,67.1,81.6,74.0,71.775,4.19,0.34,3.62,0.58,5.89,1.26,5.39,1.08,3.26,29.7,3.85,0.63,3.39,-0.07,2.53,0.78,0.83,0.68,1.23
智伸科,"=""4551""",55.9,49.2,47.8,55.6,52.12499999999999,18.6,1.38,18.4,1.15,18,1.52,16.2,0.43,4.47,102.5,16.4,1.5,18.6,1.48,22.2,1.76,6.79,6.88,6.17
力達-KY,"=""4552""",31.8,33.9,31.9,50.0,36.9,8.07,0.55,12.8,0.97,14.9,0.73,14.6,1.21,3.46,23.15,7.14,0.25,9.88,0.41,9.77,0.27,3.17,3.15,3.13
橙的,"=""4554""",94.3,87.7,45.0,58.3,71.325,0.71,-0.24,0.84,0.3,0.95,0.49,1.16,0.51,1.06,27.25,0.97,0.69,0.96,0.52,0.94,0.29,0.38,0.41,0.39
氣立,"=""4555""",-97.6,59.7,50.8,73.4,21.575000000000003,3.43,0.04,3.88,0.13,3.1,-0.27,3.37,-0.4,-0.51,39.0,3.26,-0.06,3.94,0.12,3.91,-0.78,1.12,1.28,1.4
旭然,"=""4556""",250.0,66.7,117.0,90.0,130.925,1.35,-0.08,1.57,0.2,1.59,0.08,1.53,-0.11,0.1,31.8,1.63,-0.04,1.88,0.04,1.72,0.19,0.61,0.54,0.61
永新-KY,"=""4557""",66.5,57.8,87.2,97.0,77.125,6.94,1.4,8.47,3.07,8.07,2.49,8.86,2.06,9.02,123.5,7.64,1.72,9.12,2.65,10.7,3.0,3.92,3.93,4.06
寶緯,"=""4558""",0.0,80.0,65.9,49.3,48.8,2.86,-0.58,4.1,0.14,5.7,0.79,3.2,-0.67,0.01,30.9,3.74,0.06,3.66,0.67,3.28,-0.22,1.46,1.27,1.11
強信-KY,"=""4560""",94.3,59.5,61.0,89.3,76.025,2.61,0.02,3.36,0.63,3.12,0.15,3.31,0.26,1.06,34.1,3.38,0.25,4.08,0.52,4.11,0.57,1.43,1.5,1.57
健椿,"=""4561""",36.5,36.3,36.1,61.6,42.625,2.34,0.21,3.03,0.5,3.6,1.3,3.02,0.73,2.74,65.7,2.77,0.94,3.93,1.34,2.79,0.67,0.73,0.98,0.77
穎漢,"=""4562""",0.0,0.0,0.0,0.0,0.0,1.99,-0.07,1.55,-0.42,2.09,0.08,1.79,-0.51,-0.92,60.5,1.79,-0.18,1.58,-0.06,2.24,-0.18,0.6,0.72,0.85
百德,"=""4563""",26.4,0.0,0.0,0.0,6.6,5.61,0.38,6.6,0.84,7.13,0.41,8.37,0.38,2.02,80.9,6.92,0.87,8.16,1.08,8.49,0.95,2.91,3.03,2.9
元翎,"=""4564""",0.0,64.5,74.3,78.8,54.400000000000006,3.31,-0.46,3.58,-0.53,3.28,-0.3,2.88,-0.61,-1.87,21.4,1.8,-0.53,2.97,-0.47,2.89,-0.37,1.05,1.31,1.42
時碩工業,"=""4566""",47.2,36.6,50.4,79.7,53.47500000000001,11.4,0.76,10.2,1.0,10.5,1.47,9.93,-0.18,3.04,71.7,10.5,1.47,12.6,1.15,12.9,0.35,4.08,4.16,3.74
科際精密,"=""4568""",236.0,79.8,79.5,81.2,119.125,2.08,-0.18,2.8,0.25,3.23,0.92,2.32,0.06,1.06,50.1,2.41,0.5,3.15,0.73,3.58,1.1,0.77,0.98,1.06
六方科-KY,"=""4569""",138.0,51.6,,,47.4,3,1.02,2.77,1.74,2.97,1.24,3.42,-0.64,3.26,178.5,3.5,2.96,3.33,2.09,3.89,1.58,1.4,1.31,1.09
鈞興-KY,"=""4571""",59.8,54.1,55.0,60.0,57.225,5.87,1.23,5.01,1.6,6.5,1.19,6.11,1.16,5.18,209.0,7.7,2.23,7.44,2.69,7.2,1.89,2.58,2.89,2.82
駐龍,"=""4572""",80.5,41.1,333.0,543.0,249.4,1.91,1.65,2.19,1.78,2.17,1.92,2.05,1.14,6.21,152.0,2.32,2.14,2.13,1.86,2.23,1.54,0.81,0.65,0.58
大銀微系統,"=""4576""",250.0,36.6,40.3,26.3,88.30000000000001,5.52,0.05,5.62,-0.15,5.08,0.14,5.48,0.01,0.04,147.0,4.54,-0.19,5.83,0.22,5.98,0.2,1.83,2.0,2.36
達航科技,"=""4577""",0.0,58.4,72.2,66.7,49.325,2.57,0.45,2.37,0.02,1.23,-0.85,1.38,-4.14,-4.52,26.2,1.01,-0.41,1.25,-0.57,1.63,-0.45,0.51,1.34,0.91
捷流閥業,"=""4580""",62.5,66.4,64.9,67.7,65.375,6.64,1.9,7.27,2.33,6.9,2.19,5.29,1.26,7.68,92.2,5.62,2.57,6.12,2.55,5.88,1.29,2.16,2.15,2.1
光隆精密-KY,"=""4581""",60.0,74.9,63.0,97.1,73.75,3.03,1.4,2.94,1.91,3.03,1.38,2.98,1.3,6.0,50.0,2.81,1.22,2.79,1.32,2.68,1.08,0.95,0.82,0.77
台灣精銳,"=""4583""",91.8,69.1,67.6,62.5,72.75,6.56,2.44,7.03,3.18,6.46,3.79,6.82,1.49,10.89,824.0,7.2,4.59,7.49,3.61,7.59,3.14,2.47,2.49,2.36
君帆,"=""4584""",36.6,55.4,49.3,,35.325,2.23,0.49,2.51,0.95,2.57,0.75,2.81,1.09,3.28,62.5,2.91,0.94,3.37,0.91,3.52,1.05,1.18,1.2,1.13
玖鼎電力,"=""4588""",74.4,36.6,,,27.75,2.54,0.55,3.32,1.73,2.45,0.89,2.06,0.86,4.03,81.1,2.44,0.62,2.5,1.29,2.51,0.84,0.77,1.15,1.34
唐鋒,"=""4609""",0.0,0.0,0.0,0.0,0.0,0.3,-0.22,0.18,-0.23,0.18,-0.23,0.32,-0.1,-0.78,7.57,0.15,-0.18,0.43,-0.04,0.51,-0.05,0.04,0.09,0.12
中美實,"=""4702""",0.0,0.0,0.0,0.0,0.0,1.75,0.03,1.35,0.04,1.36,0.45,0.68,0.2,0.72,12.35,0.38,0.31,0.57,-0.07,0.42,0.03,0.18,0.13,0.12
大恭,"=""4706""",286.0,93.8,79.6,65.6,131.25,2.42,-0.16,2.63,-0.01,2.87,0.17,2.85,0.07,0.07,31.8,3.05,0.38,3.08,0.25,3.07,0.12,0.94,0.94,0.9
磐亞,"=""4707""",27.2,13.2,14.3,18.3,18.25,2.73,0.14,3.61,0.29,3.73,0.31,3.16,0.21,0.92,13.65,2.23,0.21,4.68,0.29,3.72,0.21,1.43,1.13,1.22
永純,"=""4711""",167.0,-161.0,78.7,87.9,43.150000000000006,2.16,0.3,1.62,0.0,2.02,0.02,1.89,-0.01,0.3,14.5,1.77,0.05,1.83,0.01,2.19,-0.04,0.6,0.61,0.64
永捷,"=""4714""",0.0,0.0,792.0,222.0,253.5,1.68,0.09,1.04,0.01,1.19,-0.04,1.26,0.08,0.14,15.5,1.52,0.59,1.76,-0.32,2.09,-0.08,1.1,0.83,0.96
大立,"=""4716""",0.0,0.0,13.6,94.2,26.95,1.15,0.02,1.27,-0.14,1.44,-0.11,1.42,0.05,-0.18,20.0,1.31,0.47,1.47,0.63,1.56,-0.04,0.45,0.49,0.51
德淵,"=""4720""",72.4,100.0,66.7,0.0,59.775000000000006,7.55,-0.02,8.33,0.14,8.48,0.66,8.75,-0.04,0.74,18.95,8.61,0.51,9.02,0.32,9.36,0.4,3.36,3.12,3.31
美琪瑪,"=""4721""",-333.0,90.4,79.0,84.8,-19.7,6.39,-0.84,6.42,-0.34,5.5,0.64,4.85,0.22,-0.33,61.6,5.55,0.79,5.72,1.45,4.81,0.41,1.8,1.74,1.61
國精化,"=""4722""",59.9,60.3,59.0,70.7,62.475,7.4,0.02,8.62,0.4,9,0.79,9.53,0.46,1.67,49.9,9.08,0.59,11.1,0.68,10.6,0.55,2.96,2.95,3.76
永昕,"=""4726""",0.0,0.0,0.0,0.0,0.0,1.38,-1.17,2.18,-0.82,1.13,-0.59,1.83,-0.74,-3.32,39.5,0.8,-0.66,2.01,-0.49,2.09,-0.71,0.35,1.09,0.5
雙美,"=""4728""",95.7,96.9,97.6,45.8,84.00000000000001,3.93,2.35,4.17,2.65,4.74,3.39,4.05,3.1,11.49,279.5,4.28,3.24,4.54,3.35,4.58,3.15,1.58,1.38,1.49
熒茂,"=""4729""",147.0,71.4,0.0,0.0,54.6,3.16,0.18,3.16,0.23,2.48,0.12,2.21,-0.19,0.34,23.65,2.29,-0.05,2.66,0.1,2.34,0.16,0.82,0.78,1.02
豪展,"=""4735""",0.0,55.2,63.2,41.9,40.075,2.56,0.67,2.56,0.57,2.12,0.37,1.55,-0.44,1.17,37.0,1.95,-0.15,2.54,0.62,2.69,0.56,0.6,0.81,0.67
泰博,"=""4736""",93.7,55.5,70.0,66.9,71.525,15.4,4.17,11.9,1.82,10,3.44,10.8,1.24,10.67,141.0,10.8,4.24,11.6,2.81,12.3,1.03,3.95,3.89,3.84
華廣,"=""4737""",1999.0,140.0,138.0,195.0,618.0,4.15,-0.09,4.26,0.17,4.25,-0.17,4.9,0.18,0.1,62.0,4.68,-0.08,4.75,-0.59,4.88,-0.88,1.78,1.82,1.43
康普,"=""4739""",-86.0,63.6,64.2,69.4,27.800000000000004,15.4,-0.52,14.6,0.05,11.5,-0.19,10.8,-0.29,-0.93,54.4,10.9,0.45,11.0,0.48,9.97,0.34,3.04,2.7,3.3
泓瀚,"=""4741""",89.1,83.3,88.9,65.9,81.79999999999998,1.71,0.54,1.43,0.41,1.57,0.45,1.78,0.62,2.02,34.9,1.55,0.64,1.53,0.49,1.36,0.27,0.47,0.53,0.46
合一,"=""4743""",0.0,10.6,0.0,0.0,2.65,0.22,-0.68,0.2,-0.71,0.19,-0.48,0.26,-1.08,-2.91,79.2,0.26,-0.2,0.31,-0.36,0.29,-1.06,0.11,0.09,0.11
皇將,"=""4744""",37.0,75.3,70.1,78.9,65.32499999999999,0.96,-1.29,3.14,0.53,2.93,0.44,4.25,0.55,0.27,22.0,2.53,-0.14,3.02,0.15,2.34,-0.33,0.75,1.13,3.1
合富-KY,"=""4745""",63.5,131.0,83.3,74.5,88.075,11.8,0.35,13.1,0.14,11.8,0.23,11.4,-0.09,0.63,20.15,10.5,0.07,10.8,-0.06,10.4,-0.08,2.7,3.5,4.04
台耀,"=""4746""",190.0,29.4,18.3,0.0,59.425,9.32,-0.21,10.9,0.69,11.3,-0.95,12.1,1.52,1.05,71.2,11.3,-0.8,12.1,2.36,10.3,0.19,3.81,4.31,5.39
強生,"=""4747""",66.9,92.6,88.4,90.6,84.625,1.49,0.75,1.55,0.75,1.48,0.45,1.55,0.5,2.24,71.0,1.63,0.45,1.5,0.5,1.5,0.47,0.5,0.51,0.47
國碳科,"=""4754""",80.0,38.5,41.7,19.8,45.0,1.5,0.53,1.9,0.83,1.52,0.43,1.52,0.53,2.25,41.65,1.69,0.93,1.59,0.78,1.57,0.61,0.4,0.59,0.48
三福化,"=""4755""",0.0,133.0,47.4,66.8,61.8,12,0.95,12.6,1.07,12.1,1.09,13.2,1.3,4.41,122.0,11.3,1.1,12,1.1,12.3,0.94,4.07,9.33,4.14
勤凱,"=""4760""",69.2,71.4,68.3,67.0,68.97500000000001,2.04,0.64,2.97,1.38,3.24,1.2,2.2,0.68,3.9,104.5,2.66,1.24,3.68,1.86,4.31,1.23,1.68,1.42,1.16
材料-KY,"=""4763""",33.0,26.9,66.6,53.6,45.025,15.6,7.44,23.7,15.25,32.6,19.7,38.4,23.38,62.52,838.0,36.1,24.48,32,20.41,43.7,18.32,14.16,15.58,15.59
雙鍵,"=""4764""",0.0,-140.0,37.3,20.6,-20.525,4.99,-0.22,5.9,-0.31,5.78,-0.13,5.61,-0.34,-1.0,46.5,5.21,-0.3,6.88,-0.14,7.34,-0.26,2.5,2.08,3.01
南寶,"=""4766""",0.0,65.1,37.5,69.2,42.95,45.3,5.9,50.8,3.79,54.5,5.35,55.2,5.11,20.14,319.5,49.9,5.86,57.8,5.58,60.9,5.48,20.91,20.36,19.95
誠泰科技,"=""4767""",58.1,60.2,52.8,51.9,55.75000000000001,2.81,-0.03,3.31,0.9,3.23,0.95,3.01,0.76,2.58,33.15,2.9,0.75,3.08,0.8,3.03,0.62,0.88,0.88,1.11
晶呈科技,"=""4768""",127.0,75.0,79.1,46.2,81.825,2.46,1.17,2.01,0.82,1.69,0.56,1.99,0.3,2.76,178.0,2.46,1.03,2.48,0.77,2.61,0.67,0.94,0.81,0.87
上品,"=""4770""",56.6,53.2,57.4,56.2,55.85000000000001,17,6.81,14.6,4.75,12.3,4.82,12.9,4.87,21.22,291.0,14.8,6.14,15.9,5.01,17.7,5.28,5.47,5.6,5.1
望隼,"=""4771""",30.0,41.5,32.3,,25.95,5.09,1.74,5.53,2.24,7.04,3.28,8.07,3.54,10.77,160.0,7.68,3.42,7.3,3.0,7.42,2.5,3.11,2.28,2.23
台特化,"=""4772""",88.5,45.3,46.1,,44.975,0.93,0.09,1.13,0.15,1.57,0.32,1.9,0.58,1.13,260.0,2.17,0.59,1.88,0.54,2.14,0.71,0.84,0.85,0.87
桂田文創,"=""4806""",0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.01,-0.12,0.0,-0.16,0.0,-0.25,-0.54,9.76,0.04,-0.05,0.09,-0.08,0.26,-0.1,0.06,0.05,0.17
日成-KY,"=""4807""",0.0,52.9,50.0,21.6,31.125,2.35,-2.09,2.51,-1.52,3.23,-0.54,3.4,0.03,-4.12,17.95,2.91,-0.72,3.53,-0.66,5.72,-0.77,2.3,2.19,1.15
聯光通,"=""4903""",0.0,0.0,0.0,0.0,0.0,1.73,-0.17,1.07,-0.19,1.9,-0.07,2.17,0.69,0.28,35.9,1.46,-0.24,2.32,0.75,2.14,-0.21,0.14,0.21,2.07
遠傳,"=""4904""",95.0,110.0,116.0,127.0,112.0,223,0.85,217,0.85,232,0.87,265,0.87,3.42,87.8,257,0.81,250,0.86,247,0.88,98.44,93.32,99.92
台聯電,"=""4905""",26.7,-80.5,82.7,108.0,34.225,0.18,2.19,0.23,1.54,0.45,1.82,0.28,0.06,5.61,77.0,1.22,1.75,1.43,1.61,1.56,-1.37,0.65,0.42,0.65
正文,"=""4906""",95.5,88.2,81.4,50.7,78.95,70.6,0.16,70.1,0.79,61.6,0.9,59,-0.3,1.55,32.35,57.6,0.18,76.1,0.74,61.7,0.23,20.15,19.76,20.92
富宇,"=""4907""",58.0,1200.0,74.3,100.0,358.075,0,-0.28,0.53,-0.08,8.82,0.38,24.7,2.22,2.24,67.2,2.09,0.27,28.9,2.14,17.1,3.3,0.01,0.03,14.66
前鼎,"=""4908""",91.3,89.8,96.8,71.0,87.225,1.79,0.43,2.05,0.67,2.48,0.81,3.1,0.72,2.63,98.9,2.28,0.76,2.48,0.66,1.87,0.35,0.54,1.14,1.06
新復興,"=""4909""",119.0,0.0,0.0,188.0,76.75,1.61,-0.04,0.99,0.1,1.83,0.58,3.03,-0.22,0.42,99.5,5.47,1.76,6.05,1.52,10.8,5.17,1.85,2.23,1.64
德英,"=""4911""",43.9,0.0,0.0,0.0,10.975,0.41,0.27,0.44,0.3,0.47,0.38,0.49,0.33,1.3,54.0,0.55,0.35,0.6,0.42,0.62,0.47,0.24,0.24,0.24
聯德控股-KY,"=""4912""",0.0,29.4,33.7,56.3,29.85,9.3,0.02,10.5,0.16,14.8,2.07,12,1.93,4.18,143.0,11.8,0.85,15.4,2.04,15.5,2.12,4.19,5.39,5.76
致伸,"=""4915""",72.7,63.9,60.5,69.8,66.725,147,1.23,161,1.55,157,1.63,140,1.09,5.5,79.3,136,1.28,154,1.6,160,1.7,46.43,44.99,39.98
事欣科,"=""4916""",46.0,31.1,38.8,-28.1,21.95,8.3,0.31,8.58,0.4,8.4,0.61,8.86,-0.43,0.87,31.45,9.7,0.0,9.11,-0.92,8.81,0.27,2.84,2.34,2.93
新唐,"=""4919""",52.0,69.6,68.8,41.9,58.075,89.6,1.6,89.5,1.05,89.7,1.43,84.7,1.69,5.77,90.8,84.7,0.97,82.3,-0.05,79.6,-0.25,23.1,23.86,25.74
力士,"=""4923""",1000.0,46.4,78.7,188.0,328.27500000000003,1.83,0.07,1.48,-0.08,1.96,0.27,2.11,-0.05,0.2,31.3,1.96,0.46,2.1,-0.86,2.14,-1.29,0.65,0.7,0.6
欣厚-KY,"=""4924""",0.0,0.0,0.0,0.0,0.0,1.23,-0.16,0.96,-0.51,1.51,-0.15,1.3,-0.33,-1.15,20.8,1.2,0.19,1.68,0.02,1.74,-0.16,0.66,0.61,1.06
泰鼎-KY,"=""4927""",0.0,43.5,55.2,47.5,36.55,32.9,-0.5,31.5,-0.85,31.0,-0.95,30.9,-1.9,-4.2,31.8,28.1,-1.5,31.4,-1.79,34.3,-2.69,10.12,10.59,10.1
燦星網,"=""4930""",63.7,62.5,150.0,157.0,108.3,14.7,0.31,14.3,0.49,22,2.24,18,0.57,3.61,29.75,17.1,0.5,19.4,0.74,25.3,0.73,6.07,5.78,5.84
新盛力,"=""4931""",48.5,73.9,0.0,87.3,52.425,6.67,0.74,5.14,0.5,2.84,-0.55,2.45,0.97,1.65,71.3,5.25,0.31,5.12,0.55,5.5,0.86,1.61,1.2,1.27
友輝,"=""4933""",70.5,81.1,90.6,86.5,82.175,4.43,0.11,6.58,1.58,7.04,1.81,6.94,0.72,4.22,75.8,6.11,1.95,7.23,2.0,7.32,1.25,2.84,2.9,3.1
太極,"=""4934""",0.0,0.0,0.0,0.0,0.0,6.3,0.21,7.12,0.29,6.49,0.44,1.55,-1.09,-0.13,12.5,0.71,-0.29,1.98,-0.12,0.74,-0.39,0.07,0.12,0.06
茂林-KY,"=""4935""",58.4,49.7,51.3,53.1,53.12499999999999,10.9,-0.77,17.6,1.82,15.4,1.24,15.6,0.29,2.57,56.6,14.1,1.0,18.1,1.27,19.7,0.77,5.43,6.41,5.8
和碩,"=""4938""",67.8,70.7,64.9,58.1,65.375,"3,181",1.13,"2,807",1.17,"3,158",1.72,"3,422",1.88,5.9,95.3,"2,504",1.22,"2,537",2.1,"2,942",1.61,1188.01,1057.58,1024.46
亞電,"=""4939""",135.0,137.0,79.5,77.6,107.275,3.15,0.05,3.65,-0.01,4.47,0.3,4.22,0.03,0.37,19.8,3.57,0.13,4.01,0.04,4.1,0.11,1.18,1.31,1.25
嘉彰,"=""4942""",53.2,55.2,47.0,52.5,51.975,14.2,0.87,15.6,1.41,16.2,1.39,14.8,0.65,4.32,40.3,13.2,1.13,15.1,1.4,14.2,0.43,4.33,4.66,5.25
康控-KY,"=""4943""",0.0,0.0,0.0,-10.8,-2.7,3.81,0.17,3.68,-1.48,4.6,-0.89,4.75,-0.66,-2.84,15.05,3.76,0.25,3.56,-0.74,3.87,-0.29,1.28,1.36,1.33
陞達科技,"=""4945""",94.3,90.0,91.2,79.2,88.675,0.72,0.06,1.14,1.17,1.16,0.64,1.21,0.26,2.12,70.6,1.03,1.11,1.07,0.73,1.26,0.42,0.41,0.46,0.44
辣椒,"=""4946""",0.0,0.0,0.0,0.0,0.0,0.1,-1.54,0.06,-0.98,0.08,-2.96,0.06,-2.8,-10.66,38.75,0.09,-2.41,0.1,-1.84,0.05,-2.79,0.05,0.05,0.05
有成精密,"=""4949""",75.0,24.7,17.4,17.6,33.675,14.2,1.5,12.5,1.84,11.2,-0.34,7.17,0.2,3.2,21.0,6.08,-0.7,6.31,-1.05,5.74,-0.19,1.89,2.1,1.83
牧東,"=""4950""",0.0,0.0,0.0,0.0,0.0,0.14,-0.46,0.2,-2.45,0.28,-0.24,0.09,-0.9,-4.05,13.2,0.0,-0.43,0.08,-0.12,0.02,-0.44,0.02,0.01,0.01
精拓科,"=""4951""",75.5,73.4,88.7,79.0,79.15,1.01,0.72,1.03,0.86,1.03,0.85,1.02,0.88,3.31,67.1,1.17,0.96,1.36,1.32,1.33,0.94,0.45,0.41,0.43
凌通,"=""4952""",84.4,94.0,89.3,92.7,90.1,4.56,0.29,6.25,0.61,5.88,0.5,4.98,0.14,1.54,52.4,5.44,0.56,7.91,1.09,6.57,0.56,1.77,1.5,1.43
緯軟,"=""4953""",58.4,60.0,66.4,70.6,63.85,20.5,1.85,21.3,1.98,22.2,2.29,24.4,2.46,8.49,103.0,24.2,1.85,25.2,1.87,26.1,1.86,8.87,9.12,9.13
光鋐,"=""4956""",0.0,0.0,27.8,0.0,6.95,3.0,-0.25,2.93,-0.23,2.8,-0.15,2.59,-0.75,-1.38,30.05,2.7,-0.13,3.37,0.02,3.59,0.0,1.02,1.14,1.13
臻鼎-KY,"=""4958""",50.0,39.9,49.0,50.6,47.375,315,0.53,235,-0.09,419,2.4,544,3.71,6.55,117.0,325,1.03,324,0.51,506,3.52,209.53,194.34,157.46
誠美材,"=""4960""",0.0,-70.9,53.0,0.0,-4.475000000000001,18.6,-0.3,25.3,-0.31,26.0,0.06,22.5,-0.43,-0.99,13.75,19.1,0.01,25.1,-0.01,23.3,-0.41,6.77,7.11,7.89
天鈺,"=""4961""",80.1,51.5,50.3,61.4,60.825,39.4,2.26,43.4,3.13,42.4,3.98,37.7,3.31,13.29,226.0,37.2,3.17,50.2,4.91,53.1,4.19,16.96,17.35,17.41
譜瑞-KY,"=""4966""",49.4,43.2,49.0,48.5,47.525,30.4,4.51,32,5.44,37.1,7.71,38.2,8.08,25.73,709.0,38.1,7.21,39.1,7.11,44,9.57,13.13,14.37,13.72
十銓,"=""4967""",48.9,10000.0,0.0,41.8,2522.675,15.7,-0.54,56.6,0.49,36.5,0.54,56.9,2.89,3.38,74.6,29.9,4.1,74.8,1.85,62,1.73,11.95,9.05,11.66
立積,"=""4968""",0.0,0.0,66.5,28.9,23.85,6.37,-0.99,7.38,-0.6,7.38,-0.5,8.71,-0.38,-2.46,202.5,8.61,0.31,10.1,0.84,9.09,-0.19,3.0,3.0,2.98
IET-KY,"=""4971""",0.0,46.0,61.2,54.4,40.4,1.48,0.01,1.38,-0.55,2.04,1.22,1.73,-0.45,0.23,95.8,1.89,-0.36,1.55,-1.24,1.48,-1.25,0.57,0.81,0.88
湯石照明,"=""4972""",60.3,120.0,83.7,115.0,94.75,1.62,0.02,1.82,-0.18,1.91,0.06,2.77,1.25,1.16,24.1,2.37,-0.31,3.31,0.17,3.19,-0.06,1.01,1.02,1.28
廣穎,"=""4973""",64.1,69.2,286.0,87.0,126.575,11.1,0.38,10.8,0.16,11.3,1.59,11.7,0.98,3.12,31.55,11.8,1.41,10.4,0.07,9.91,0.5,3.89,3.59,4.4
亞泰,"=""4974""",74.5,72.7,73.3,67.8,72.075,8.79,1.19,10.1,2.12,8.41,1.51,8.12,0.81,5.64,111.0,8.55,1.58,11,1.9,13.4,1.9,3.75,4.0,3.32
佳凌,"=""4976""",0.0,0.0,0.0,0.0,0.0,2.5,-0.36,2.41,-0.33,2.17,-0.21,2.15,-1.01,-1.91,33.85,2.49,0.05,3.09,0.07,3.2,-0.2,0.82,0.79,0.9
眾達-KY,"=""4977""",51.6,40.3,83.0,73.6,62.125,7.79,2.52,5.29,1.59,2.31,0.4,2.03,-0.25,4.26,141.0,1.37,0.15,2.04,-0.02,3.58,1.11,1.43,1.45,1.05
華星光,"=""4979""",42.8,2.89,0.0,0.0,11.4225,4.87,0.3,5.78,0.62,8.8,1.25,10.1,1.17,3.34,220.5,6.56,0.74,8.01,0.99,9.46,0.98,3.3,3.67,3.52
科誠,"=""4987""",77.1,75.6,65.1,53.2,67.75,2.7,1.06,2.91,0.94,2.85,1.37,3.02,1.17,4.54,88.4,2.54,0.92,3.33,1.91,3.29,1.93,1.27,1.09,1.41
榮科,"=""4989""",0.0,-127.0,41.4,34.5,-12.775,8.94,0.02,9.28,-0.28,8.95,-0.14,8.4,-0.57,-0.97,17.5,7.88,-0.15,9.18,-0.05,7.12,-0.92,1.8,2.36,1.58
環宇-KY,"=""4991""",0.0,0.0,0.0,0.0,0.0,2.7,-2.66,3.22,-2.41,3.58,-2.07,4.0,-0.03,-7.18,136.5,3.47,-1.9,4.68,-1.18,4.58,1.38,1.23,1.49,2.05
傳奇,"=""4994""",237.0,104.0,122.0,76.7,134.925,3.91,0.4,4.33,0.52,3.97,0.58,4.03,0.06,1.69,99.1,4.47,2.05,3.85,0.47,4,1.19,1.36,1.1,1.06
晶達,"=""4995""",88.6,83.6,93.2,108.0,93.35,2.99,0.73,2.85,0.78,3.08,1.11,3.27,0.99,3.61,68.2,2.95,1.01,3.62,1.4,3.96,1.3,1.13,1.12,1.15
鑫禾,"=""4999""",2000.0,63.2,82.0,53.0,549.55,4.12,-0.79,5.67,1.08,4.6,0.15,4.7,-0.38,0.05,32.25,4.16,0.25,5.31,0.45,5.05,-0.15,1.68,1.56,1.81
三星,"=""5007""",88.8,83.3,90.1,98.0,90.05,16.2,0.8,16.1,0.83,16.9,0.94,17.3,0.81,3.38,55.0,17.8,0.99,17.1,1.05,17.8,0.86,4.91,5.15,5.38
榮剛,"=""5009""",0.0,48.2,46.5,42.2,34.225,33.2,1.2,36.2,1.2,32.9,1.0,32.9,1.32,4.66,48.35,34.1,1.0,33.6,1.2,30.4,1.67,10.12,10.11,10.25
久陽,"=""5011""",66.2,66.0,54.6,0.0,46.7,9.76,0.42,9.3,0.07,7.3,0.01,16.9,1.01,1.51,20.05,9.45,-0.15,9.85,0.85,11.3,-0.24,2.87,3.81,4.11
強新,"=""5013""",46.6,39.4,45.4,31.6,40.75,16.6,0.39,17.3,0.4,21.2,0.79,20.8,0.34,1.93,29.7,18.3,0.46,19.6,0.39,20,0.5,6.6,7.73,7.2
建錩,"=""5014""",714.0,39.2,38.2,0.0,197.85,36.9,-0.03,40.9,0.07,38.6,0.42,39.6,-0.32,0.14,14.05,33.4,0.56,42.8,0.67,41.1,-0.54,15.38,17.24,13.42
華祺,"=""5015""",224.0,59.2,85.4,97.9,116.625,3.74,0.32,3.98,0.91,4.09,0.92,3.54,-0.81,1.34,36.5,3.43,0.76,3.7,0.6,4.16,-0.12,1.47,1.45,1.43
松和,"=""5016""",75.3,69.3,69.5,63.5,69.4,5.53,0.11,4.72,0.17,5.04,0.35,4.86,0.3,0.93,27.6,4.97,0.33,5.05,0.39,5.15,0.59,1.73,1.82,1.62
凱衛,"=""5201""",61.5,80.4,96.2,90.3,82.10000000000001,0.52,1.24,0.57,0.69,0.66,0.29,0.52,0.22,2.44,28.75,1.03,0.32,0.5,0.72,0.49,-0.2,0.18,0.23,0.27
