名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
力麗,"=""1444""",0.0,0.0,44.1,0.0,11.025,22.6,-0.11,22.2,-0.04,20.8,0.16,15.9,-0.29,-0.28,8.44,20.7,0.24,20.0,0.1,20.4,-0.08,7.61,6.68,7.28
大宇,"=""1445""",32.4,125.0,0.0,-45.5,27.975,4.02,0.12,3.54,0.11,2.96,0.08,3.3,7.41,7.72,16.6,2.42,0.0,2.66,0.02,2.72,-0.14,0.7,0.85,0.55
宏和,"=""1446""",87.5,-74.1,-250.0,-600.0,-209.15,0.36,-0.09,0.37,-0.04,0.26,-0.05,4.75,0.99,0.8,38.1,7.18,2.13,7.45,2.05,15.9,4.87,4.73,0.11,1.37
力鵬,"=""1447""",0.0,0.0,0.0,0.0,0.0,84.9,-0.1,75.7,-0.14,64.9,0.05,71.3,-0.32,-0.51,7.11,92.8,0.22,90.0,0.02,72.6,-0.16,40.66,23.39,28.88
佳和,"=""1449""",5.05,0.0,0.0,0.0,1.2625,6.15,0.2,6.22,0.1,7.97,0.43,6.22,-0.13,0.61,19.05,8.85,0.52,6.99,0.33,6.42,0.14,2.75,1.92,2.0
年興,"=""1451""",-27.4,93.0,81.3,-28.0,29.724999999999994,15.0,-1.08,17.5,-0.13,16.3,-0.03,14.7,-0.6,-1.83,19.4,16.9,0.15,16.3,0.33,16.3,0.44,4.27,6.14,4.29
宏益,"=""1452""",76.9,82.5,75.5,94.6,82.375,2.6,-0.09,2.79,0.04,2.96,0.26,3.65,0.18,0.39,14.85,3.32,-0.02,4.48,0.36,4.63,0.05,1.45,1.54,1.58
大將,"=""1453""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.08,2.03,0.53,0.57,14.2,0.0,0.15,0.0,0.12,0.0,-0.15,0.0,0.0,0.0
台富,"=""1454""",156.0,96.2,1250.0,-64.5,359.425,3.64,-0.03,3.95,0.17,4.1,0.04,3.44,-0.02,0.16,15.25,3.9,0.16,4.27,0.09,4.16,0.0,1.14,1.2,1.58
集盛,"=""1455""",0.0,-18.9,46.2,-429.0,-100.425,18.0,-0.08,17.4,-0.28,19.3,-0.16,22.8,0.07,-0.45,9.24,22.4,0.14,27.0,0.12,23.8,-0.12,7.02,7.01,7.06
怡華,"=""1456""",400.0,0.0,30.9,0.0,107.725,1.26,-0.63,9.23,1.31,4.0,-0.12,2.36,-0.47,0.05,14.85,2.8,-0.46,2.58,-0.44,3.05,-0.16,0.48,0.17,1.33
宜進,"=""1457""",39.2,22.0,111.0,160.0,83.05,7.2,0.11,7.26,-0.19,8.42,0.24,8.32,2.38,2.55,19.7,8.76,0.03,7.5,0.25,9.31,0.67,2.55,2.75,3.02
聯發,"=""1459""",0.0,0.0,9.95,0.0,2.4875,2.65,-0.03,2.26,0.14,2.74,0.15,4.39,-0.18,0.07,9.36,3.72,0.01,3.1,0.36,2.83,0.19,1.03,1.13,1.33
宏遠,"=""1460""",0.0,0.0,0.0,0.0,0.0,19.3,0.01,16.1,-0.18,20.2,-0.66,22.8,-0.96,-1.8,7.13,19.3,0.01,17.5,-0.18,21.2,-0.23,7.89,7.41,9.29
強盛新,"=""1463""",76.9,95.2,81.6,90.9,86.15,0.9,0.21,0.66,-0.02,1.03,0.27,0.89,0.19,0.65,24.75,0.79,0.09,0.67,-0.05,0.72,0.22,0.13,0.29,3.78
得力,"=""1464""",192.0,42.1,52.1,-55.6,57.65,26.2,0.12,20.9,-0.09,25.4,0.08,25.8,0.03,0.13,17.5,25.9,0.13,27.8,0.25,32.3,0.27,11.92,10.6,11.61
偉全,"=""1465""",89.3,91.4,-32.3,-125.0,5.849999999999994,1.31,0.02,1.69,0.35,1.37,0.42,1.46,-0.24,0.56,14.1,1.11,0.36,1.18,0.2,1.44,-0.14,0.36,0.48,0.38
聚隆,"=""1466""",0.0,0.0,62.5,0.0,15.625,5.1,-0.69,6.0,-0.4,6.51,-0.18,6.93,-0.09,-1.36,11.85,5.94,-0.17,6.96,0.06,8.06,-0.01,3.23,2.7,2.79
